,X_train,y_train
0,中国古代神話故事翻訳挑戦第0弾八百匹虎東京を騒がす(0),中国古代神話故事翻訳挑戦第0弾八百匹虎東京を騒がす(0)
1,私も親切で砕けた人ですから何時までも何か悩みがあるとしたら私にご相談していただければとても嬉しいと思いますね,私も親切で砕けた人ですから何時までも何か悩みがあるとしたら私にご相談いただければとても嬉しいと思いますね
2,今大方クラシックギターを練習していて時エレクトリックギターを弾く,今大方クラシックギターを練習していて時エレクトリックギターを弾きます
3,一冊を読み切ったわけではないのでただ一部を読んでみただけで今回のエントリーはこの本についての感想文ではありません,一冊を読み切ったわけではないのでただ一部を読んでみただけで今回のエントリーはこの本についての感想文ではありません
4,拝んで恩人の王天亮を牢獄から出したあと尾を振り出し長官を0丈外にぶっ飛ばした,拝んで恩人の王天亮を牢獄から出したあと尾を振り出し長官を0丈外にぶっ飛ばしました
5,たとえばタバコを吸わないでくださいやタバコを吸わないようにしてくださいは全然違いますか,たとえばタバコを吸わないでくださいやタバコを吸わないようにしてくださいは全然違いますか
6,神様だけが知っている秘密♫あはははっははははははっははははkkkkkkkkkkkkkkkkkkkkkkkkkkkk,神様だけが知っている秘密♫あはははっははははははっははははkkkkkkkkkkkkkkkkkkkkkkkkkkkk
7,一瞬のうち大堂のあちこち裏表に屋上にも家の下にも虎で一杯になっていた,一瞬のうち大堂のあちこち裏表に屋上にも家の下にも虎で一杯になっていました
8,二人は慎重に進んでいくと奥に広がる不思議な景色が目に飛び込んできた,二人は慎重に進んでいくと奥に広がる不思議な景色が目に飛び込んできました
9,need help with grammar for my japanese paper! topic:日本の社会の反抗分子ヤンキー,need help with grammar for my japanese paper! topic:日本の社会の反抗分子ヤンキー
10,学校が休みだったから友達と遊ぶことができる,学校がお休みだったので友達と遊ぶことができました
11,日本の教育制度が批判的にけんさされて社会のえいきょうは日本人が受ける,日本の教育制度が批判的にけんさされて社会のえいきょうは日本人が受けます
12,親のような官職についてるのに民のために利益をもたらし害を排除することなく逆にこの地域に災いを来すばかりでお前は何の役に立つのか,親のような官職についてるのに民のために利益をもたらし害を排除することなく逆にこの地域に災いを来すばかりでお前は何の役に立つのか
13,すぐにカードの上限を超え限度額を引き上げた,すぐにカードの上限を超え限度額を引き上げました
14,0年からチッソ株式会社はたくさんのアセトアルデヒドを生成していた,0年からチッソ株式会社はたくさんのアセトアルデヒドを生成していました
15,もう一ヶ月もかけてずっと練習したのに自分が本当は馬鹿みたいで皆の前で恥をかきました,もう一ヶ月もかけてずっと練習したのに自分が本当は馬鹿みたいで皆の前で恥をかきました
