,X_validate,y_validate
0,今日は午前0時に大学へ行こうとしたが家の近くの道路が工事中のため通行止めでした,今日は午前0時に大学へ行こうとしましたが家の近くの道路が工事中のため通行止めでした
1,ちなみに台湾の人気ウェブは台灣論壇や台大ptt(bbs)です,ちなみに台湾の人気ウェブは台灣論壇や台大ptt(bbs)です
2,ちなみに台湾の人気ウェブは台灣論壇や台大ptt(bbs)です,ちなみに台湾の人気ウェブは台灣論壇や台大ptt(bbs)です
3,それで中国政府は世論の圧力に対して日本側に何かしないといけません,それで中国政府は世論の圧力に対して日本側に何かしないといけません
4,主賓とご両親はスピーチをして司会者はお客さんを楽しませてコンクールを行いました,主賓とご両親はスピーチをなさって司会者はお客さんを楽しませてコンクールを行いました
5,日本の一般人と日本語で喋れると思うけど大学の授業の場合は聞き取れないに違いないです,日本の一般人と日本語で喋れると思いますが大学の授業の場合は聞き取れないに違いありません
6,心の中では敬服はしていたがでも畢竟よい兆しではないだが人は其で好き好きなので無理やりすることが出来まいと思っていた,心の中では敬服はしていましたがでも畢竟よい兆しではありませんだが人は其で好き好きなので無理やり致すことが出来まいと思っていました
7,一人ぼっちになった私が教室でもうどうにも我慢できなくて大声で泣き出しました,一人ぼっちになった私が教室でもうどうにも我慢できなくて大声で泣き出しました
8,やだよ自分で渡せよ,しませんよ自分で渡せて下さいよ
9,牡丹は葉が落ちて黒く細い枝が枯れているように見えるがどういう意味があるだろう,牡丹は葉が落ちて黒く細い枝が枯れているように見えますがどういう意味があるでしょう
10,主賓とご両親はスピーチをして司会者はお客さんを楽しませてコンクールを行いました,主賓とご両親はスピーチをされ司会者はお客さんを楽しませてコンクールを行いました
11,彼女が日本語を学ぶ切っ掛けは高校0年生の時の授業のためでした,彼女が日本語を学ぶ切っ掛けは高校0年生の時の授業のためでした
12,初日はロシアの伝統に従って花婿は親友と一緒に花嫁を身受けしなければなりました,初日はロシアの伝統に従って花婿は親友と一緒に花嫁を身受けしなければなりました
13,あまりメールなどを書かないので敬語の使い方はかなり不安になりました,あまりメールなどを書かないので敬語の使い方はかなり不安になりました
14,そして日本のメディアは船長の裏には中国政府の仕業かもしれないとも書いています,そして日本のメディアは船長の裏には中国政府の仕業かもしれないとも書いています
15,学生の時といわず社会人の時といわず私は穏やかで気品のある話し方をする人であることが変わりません,学生の時といわず社会人の時といわず私は穏やかで気品のある話し方をする人であることが変わりません
16,私たちは五日間過ごした最初の三日間は雨が非常に降って大変でした,私たちは五日間過ごしました最初の三日間は雨が非常に降って大変でした
17,このストーリーは実らない恋についてのちょっと悲しいストーリーです,このストーリーは実らない恋についての少し悲しいストーリーです
18,そして夢中で時間を過ごし現実世界に帰る時が来た,そして夢中で時間を過ごし現実世界に帰る時が来ました
19,その時のことがなければ今の私はキャノン杯に参加する勇気まで失ってしまうでしょう,その時のことがなければ今の私はキャノン杯に参加する勇気まで失ってしまうでしょう
20,中国の土地は広いからたくさんの人が実家から遠い場所で働いて家族と離れています,中国の土地は広いのでたくさんの人が実家から遠い場所で働いて家族と離れています
21,地下鉄に乗る時お年寄りとか中年の人とか若者とか学生とか誰でもカバンを持っていることだった,地下鉄に乗る時お年寄りとか中年の人とか若者とか学生とか誰でもカバンを持っていることだった
22,カバンを持っている人はたぶんいろいろなものを入れておくと便利だと考える節があるがもう一つは若い者は衣服を飾ることだと思う,カバンを持っている人はおそらくいろいろなものを入れておくと便利だと考える節がありますがもう一つは若い者は衣服を飾ることだと思います
23,その公園の中で多くのアトラクションと乗り物を楽しむことができるのでオーストラリアの中でその公園は一番すごいそうです,その公園の中で多くのアトラクションと乗り物を楽しむことができますのでオーストラリアの中でその公園は一番すごいそうです
24,ちなみに日本の部屋のレンタル費がすごく高いから..........,ちなみに日本の部屋のレンタル費がすごく高いから..........
25,しかし日本側は選挙が終わっても船長を釈放する様子が全然ありませんからやっと本気で抗議し始めます,しかし日本側は選挙が終わっても船長を釈放する様子が全然ありませんからやっと本気で抗議し始めます
26,ヤンキーのリーダーはせんぱいでこうはいはせんぱいに話す時に敬語を使わなければならない,ヤンキーのリーダーはせんぱいでこうはいはせんぱいに話す時に敬語を使わなければなりません
27,西洋人にとって愛情はすべて......先生はそう言ったけど実際の状況は本当にそうなのか,西洋人にとって愛情はすべて......先生はそう仰いましたが実際の状況は本当にそうなのでしょうか
28,"時アメリカの女は""あたしは優しいガイが欲しい""と言ってんだけどこれらの人はいつも""優しいガイ""を拒否するか無視します","時アメリカの女性は""私は優しいガイが欲しい""と言っていますがこれらの人はいつも""優しいガイ""を拒否するか無視します"
29,相手をどんなに愛しても自分が相手にどんなに愛されても恋人になったらいつか別れると彼女はそう信じます,相手をどんなに愛しても自分が相手にどんなに愛されても恋人になったらいつか別れると彼女はそう信じます
30,なぜかよく分からないが日本人とスカイプコールをするたびに通信が悪くなる,なぜかよく分かりませんが日本人とスカイプコールをするたびに通信が悪くなります
31,もし赤ちゃんがあきらめたら今でも歩くことができないと思います,もし赤ちゃんがあきらめたら今でも歩くことができないと思います
32,のところにとどちらを入れるのが一番よいのでしょうか,のところにとどちらを入れるのが一番よいのでしょうか
33,その瞬間に彼は本当に幅広く感情を引き起こせるということに気づいた,その瞬間に彼は本当に幅広く感情を引き起こせるということに気づきました
34,原作は東野圭吾の同名の小説です私はすごく感動して最後までいっぱい泣いちゃいました,原作は東野圭吾の同名の小説です私はとても感動して最後までたくさん泣いてしまいました
35,特に最後の元気そうなお母ちゃんとその子供の笑顔に心が温まった,特に最後の元気そうなお母ちゃんとその子供の笑顔に心が温まりました
36,日本語より英語と中国語の言葉を排列する順番は似ているので英語が苦手なんですけど中高生のころだったんですが英語を中国語に訳すことがあまり厄介ではなかった気がしました,日本語より英語と中国語の言葉を排列する順番は似ているので英語が苦手なのですが中高生のころだったのですが英語を中国語に訳すことがあまり厄介ではなかった気がしました
37,なんだか中国語らしくないせいかなんとなく意味はわかりますけどでも頭にとどまっていられなくすぐ忘れてしまう文章だと思いました,なんだか中国語らしくないせいかなんとなく意味はわかりますけどでも頭にとどまっていられなくすぐ忘れてしまう文章だと思いました
38,日本の教育制度の究極の目的は日本人は社会に入って社会人になる,日本の教育制度の究極の目的は日本人は社会に入って社会人になります
39,子供の時から今まで私はよく責任を引き受けて真面目な人になるように育てられています,子供の時から今まで私はよく責任を引き受けて真面目な人になるように育てられています
